| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | user_encryption_keys     | 5                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_encryption_keys     | 6                | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_password_resets     | 1                | reset_id                      | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_password_resets     | 2                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | user_password_resets     | 3                | reset_token                   | character varying        | varchar     | NO          | null                            | 255                      | null              | null          |
| public       | user_password_resets     | 4                | is_used                       | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | user_password_resets     | 5                | expires_at                    | timestamp with time zone | timestamptz | NO          | null                            | null                     | null              | null          |
| public       | user_password_resets     | 6                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_sessions            | 1                | session_id                    | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_sessions            | 2                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
